FileName,PreProcessor,RestartPolicy,Bandit,AssignmentAlgorithm,hasSolution,Time,PreprocessTime
test4_2s.cnf,None,None,None,LRB,True,4.094178676605225,0
test4_2s.cnf,None,None,None,CHB,True,1.0905201435089111,0
test5_about13.cnf,lighter-NiVER,MLR,UCB,/,True,8.840510129928589,0.02101588249206543
test5_about13.cnf,lighter-NiVER,MLR,None,VSIDS,True,9.966545581817627,0.021720409393310547
TIMEOUT,test5_about13.cnf,lighter-NiVER,MLR,None
test5_about13.cnf,lighter-NiVER,MLR,None,RSR,True,1.8910191059112549,0.019971132278442383
test5_about13.cnf,lighter-NiVER,MLR,None,LRB,True,35.02029538154602,0.01963210105895996
test5_about13.cnf,lighter-NiVER,MLR,None,CHB,True,1.0758399963378906,0.02263617515563965
test5_about13.cnf,lighter-NiVER,None,None,VSIDS,True,116.71709394454956,0.020973920822143555
TIMEOUT,test5_about13.cnf,lighter-NiVER,None,None
test5_about13.cnf,lighter-NiVER,None,None,RSR,True,37.90588164329529,0.020908832550048828
test5_about13.cnf,lighter-NiVER,None,None,LRB,True,95.76340842247009,0.02155613899230957
test5_about13.cnf,lighter-NiVER,None,None,CHB,True,14.527957916259766,0.02210235595703125
test5_about13.cnf,None,MLR,UCB,/,True,8.967825412750244,0
test5_about13.cnf,None,MLR,None,VSIDS,True,9.881525754928589,0
TIMEOUT,test5_about13.cnf,None,MLR,None
test5_about13.cnf,None,MLR,None,RSR,True,1.8694877624511719,0
test5_about13.cnf,None,MLR,None,LRB,True,35.03207969665527,0
test5_about13.cnf,None,MLR,None,CHB,True,1.0717120170593262,0
test5_about13.cnf,None,None,None,VSIDS,True,116.07159638404846,0
TIMEOUT,test5_about13.cnf,None,None,None
test5_about13.cnf,None,None,None,RSR,True,39.16420364379883,0
test5_about13.cnf,None,None,None,LRB,True,97.18083882331848,0
test5_about13.cnf,None,None,None,CHB,True,14.415024280548096,0
test6_about78s.cnf,lighter-NiVER,MLR,UCB,/,True,286.60060143470764,0.013642311096191406
test6_about78s.cnf,lighter-NiVER,MLR,None,VSIDS,True,6.871867895126343,0.012974023818969727
test6_about78s.cnf,lighter-NiVER,MLR,None,ERWA,True,0.19470763206481934,0.0136260986328125
test6_about78s.cnf,lighter-NiVER,MLR,None,RSR,True,10.845587968826294,0.012894630432128906
test6_about78s.cnf,lighter-NiVER,MLR,None,LRB,True,26.221755504608154,0.012074708938598633
test6_about78s.cnf,lighter-NiVER,MLR,None,CHB,True,30.8425452709198,0.012984275817871094
test6_about78s.cnf,lighter-NiVER,None,None,VSIDS,True,79.14177751541138,0.012713193893432617
TIMEOUT,test6_about78s.cnf,lighter-NiVER,None,None
test6_about78s.cnf,lighter-NiVER,None,None,RSR,True,186.58721613883972,0.012997865676879883
test6_about78s.cnf,lighter-NiVER,None,None,LRB,True,1005.6215617656708,0.012979984283447266
test6_about78s.cnf,lighter-NiVER,None,None,CHB,True,31.133432388305664,0.011897563934326172
test6_about78s.cnf,None,MLR,UCB,/,True,54.07144045829773,0
test6_about78s.cnf,None,MLR,None,VSIDS,True,101.3055055141449,0
TIMEOUT,test6_about78s.cnf,None,MLR,None
test6_about78s.cnf,None,MLR,None,RSR,True,33.74529027938843,0
test6_about78s.cnf,None,MLR,None,LRB,True,124.01901602745056,0
test6_about78s.cnf,None,MLR,None,CHB,True,33.612815618515015,0
test6_about78s.cnf,None,None,None,VSIDS,True,164.83350205421448,0
TIMEOUT,test6_about78s.cnf,None,None,None
test6_about78s.cnf,None,None,None,RSR,True,81.85749101638794,0
test6_about78s.cnf,None,None,None,LRB,True,189.3481318950653,0
test6_about78s.cnf,None,None,None,CHB,True,30.69732141494751,0
test7_about23s.cnf,lighter-NiVER,MLR,UCB,/,True,79.21277022361755,0.020998001098632812
test7_about23s.cnf,lighter-NiVER,MLR,None,VSIDS,True,110.41588068008423,0.021748781204223633
test7_about23s.cnf,lighter-NiVER,MLR,None,ERWA,True,170.51558756828308,0.020994186401367188
test7_about23s.cnf,lighter-NiVER,MLR,None,RSR,True,60.570104360580444,0.02099895477294922
test7_about23s.cnf,lighter-NiVER,MLR,None,LRB,True,2.379408121109009,0.021999835968017578
test7_about23s.cnf,lighter-NiVER,MLR,None,CHB,True,30.822380304336548,0.022023439407348633
test7_about23s.cnf,lighter-NiVER,None,None,VSIDS,True,97.51513290405273,0.019978761672973633
TIMEOUT,test7_about23s.cnf,lighter-NiVER,None,None
test7_about23s.cnf,lighter-NiVER,None,None,RSR,True,83.06149649620056,0.021105289459228516
TIMEOUT,test7_about23s.cnf,lighter-NiVER,None,None
test7_about23s.cnf,lighter-NiVER,None,None,CHB,True,20.166409969329834,0.019793987274169922
test7_about23s.cnf,None,MLR,UCB,/,True,16.524327754974365,0
test7_about23s.cnf,None,MLR,None,VSIDS,True,16.061474084854126,0
TIMEOUT,test7_about23s.cnf,None,MLR,None
test7_about23s.cnf,None,MLR,None,RSR,True,54.43725323677063,0
TIMEOUT,test7_about23s.cnf,None,MLR,None
test7_about23s.cnf,None,MLR,None,CHB,True,33.05195093154907,0
test7_about23s.cnf,None,None,None,VSIDS,True,128.6348831653595,0
TIMEOUT,test7_about23s.cnf,None,None,None
test7_about23s.cnf,None,None,None,RSR,True,105.11777257919312,0
TIMEOUT,test7_about23s.cnf,None,None,None
test7_about23s.cnf,None,None,None,CHB,True,38.18171811103821,0
test8__004s.cnf,lighter-NiVER,MLR,UCB,/,True,0.031923770904541016,0.02362227439880371
test8__004s.cnf,lighter-NiVER,MLR,None,VSIDS,True,0.031919002532958984,0.024023056030273438
test8__004s.cnf,lighter-NiVER,MLR,None,ERWA,True,0.030480384826660156,0.022768735885620117
test8__004s.cnf,lighter-NiVER,MLR,None,RSR,True,0.03586411476135254,0.02436685562133789
test8__004s.cnf,lighter-NiVER,MLR,None,LRB,True,0.03734445571899414,0.023258686065673828
test8__004s.cnf,lighter-NiVER,MLR,None,CHB,True,0.030623674392700195,0.02362370491027832
